content_id,source_id,source_type,food_id,orig_content,orig_unit,food_name,food_group,food_subgroup,source_name,score,nutri_score,nutri_score_category
25020,4,Nutrient,680,1.5,g/100g,Casein,Milk and milk products,Other milk products,Fatty acids,1,0,B
25022,4,Nutrient,681,0.5,g/100g,Fruit preserve,Fruits,Fruit products,Fatty acids,0,12,D
25030,4,Nutrient,682,1.9,g/100g,Leavening agent,Baking goods,Baking goods,Fatty acids,1,14,D
25039,4,Nutrient,683,0.9,g/100g,Marshmallow,Confectioneries,Candies,Fatty acids,0,11,D
25041,4,Nutrient,684,0.1,g/100g,Gelatin,Baking goods,Baking goods,Fatty acids,,-2,A
25062,4,Nutrient,686,99.9,g/100g,Other fish product,Aquatic foods,Fish products,Fatty acids,10,21,E
25070,4,Nutrient,687,2.6,g/100g,Milk (Human),Milk and milk products,Unfermented milks,Fatty acids,,-1,A
25074,4,Nutrient,689,4.19,g/100g,Other beverage,Beverages,Other beverages,Fatty acids,4,4,C
25101,4,Nutrient,690,25.9,g/100g,Baby food,Baby foods,Baby foods,Fatty acids,10,23,E
25429,4,Nutrient,691,11.6,g/100g,Dumpling,Dishes,Other dishes,Fatty acids,10,9,C
25430,4,Nutrient,692,1.5,g/100g,Soup,Dishes,Other dishes,Fatty acids,1,10,C
25950,4,Nutrient,693,0.27,g/100g,Other vegetable product,Vegetables,Vegetable products,Fatty acids,0,0,B
25967,4,Nutrient,694,33.9,g/100g,Unclassified food or beverage,Unclassified,Unclassified,Fatty acids,10,10,C
25980,4,Nutrient,695,1.13,g/100g,Syrup,Baking goods,Baking goods,Fatty acids,1,12,D
26000,4,Nutrient,696,95,g/100g,Tallow,Fats and oils,Animal fats,Fatty acids,,-3,A
26003,4,Nutrient,697,36.8,g/100g,Remoulade,Baking goods,Condiments,Fatty acids,10,19,E
26005,4,Nutrient,698,30,g/100g,Chocolate spread,Confectioneries,Spreads,Fatty acids,10,18,D
26007,4,Nutrient,699,0.9,g/100g,Fruit gum,Confectioneries,Candies,Fatty acids,,-4,A
26008,4,Nutrient,700,13.8,g/100g,Curry powder,Herbs and Spices,Herb and spice mixtures,Fatty acids,10,4,C
26010,4,Nutrient,701,1.6,g/100g,Other candy,Confectioneries,Candies,Fatty acids,1,14,D
26098,4,Nutrient,702,16.5,g/100g,Meringue,Confectioneries,Other confectioneries,Fatty acids,10,23,E
26099,4,Nutrient,703,99,g/100g,Lard,Fats and oils,Animal fats,Fatty acids,,0,B
26102,4,Nutrient,704,99.8,g/100g,Other animal fat,Fats and oils,Animal fats,Fatty acids,,-3,A
26109,4,Nutrient,706,100,g/100g,Cocoa butter,Cocoa and cocoa products,Cocoa products,Fatty acids,,0,B
26111,4,Nutrient,707,3.4,g/100g,Cocoa powder,Cocoa and cocoa products,Cocoa products,Fatty acids,3,9,C
26127,4,Nutrient,709,29.1,g/100g,Chocolate,Cocoa and cocoa products,Cocoa products,Fatty acids,10,23,E
26140,4,Nutrient,710,0.5,g/100g,Hot chocolate,Cocoa and cocoa products,Cocoa products,Fatty acids,0,0,B
26152,4,Nutrient,711,0.8,g/100g,Dried milk,Milk and milk products,Other milk products,Fatty acids,,-1,A
26161,4,Nutrient,712,4.1,g/100g,Milk (Other mammals),Milk and milk products,Unfermented milks,Fatty acids,,-2,A
26165,4,Nutrient,713,3.6,g/100g,Kefir,Milk and milk products,Fermented milks,Fatty acids,,-2,A
26166,4,Nutrient,714,0.5,g/100g,Buttermilk,Milk and milk products,Fermented milks,Fatty acids,,-2,A
26172,4,Nutrient,715,3.5,g/100g,Other fermented milk,Milk and milk products,Fermented milks,Fatty acids,,-2,A
26175,4,Nutrient,716,0.04,g/100g,Soy sauce,Soy,Soy products,Fatty acids,0,8,C
26179,4,Nutrient,717,4.6,g/100g,Miso,Soy,Soy products,Fatty acids,4,8,C
26181,4,Nutrient,718,4.2,g/100g,Tofu,Soy,Soy products,Fatty acids,4,-1,A
26213,4,Nutrient,721,9.7,g/100g,Zwieback,Cereals and cereal products,Leavened breads,Fatty acids,9,19,E
26214,4,Nutrient,722,17.9,g/100g,Roe,Aquatic foods,Roe,Fatty acids,,5,C
26218,4,Nutrient,723,1.7,g/100g,Cichlidae (Tilapia),Aquatic foods,Fishes,Fatty acids,,-5,A
26220,4,Nutrient,724,17.6,g/100g,Icing,Confectioneries,Other confectioneries,Fatty acids,10,26,E
26233,4,Nutrient,725,10.98,g/100g,Snack bar,Snack foods,Snack foods,Fatty acids,10,24,E
26291,4,Nutrient,726,0.5,g/100g,Green turtle,Aquatic foods,Other aquatic foods,Fatty acids,,-5,A
26292,4,Nutrient,727,0.08,g/100g,Energy drink,Beverages,Nutritional beverages,Fatty acids,,0,B
26302,4,Nutrient,728,6.22,g/100g,Burrito,Dishes,Tex-Mex cuisine,Fatty acids,6,11,D
26320,4,Nutrient,729,13.93,g/100g,Hamburger,Dishes,Sandwiches,Fatty acids,10,19,E
26376,4,Nutrient,730,5.15,g/100g,Baked beans,Dishes,Other dishes,Fatty acids,5,5,C
26383,4,Nutrient,731,5.49,g/100g,Chili,Dishes,Tex-Mex cuisine,Fatty acids,5,5,C
26389,4,Nutrient,732,12.7,g/100g,Taco,Dishes,Tex-Mex cuisine,Fatty acids,10,10,C
26399,4,Nutrient,733,2.85,g/100g,Tortilla,Cereals and cereal products,Flat breads,Fatty acids,2,4,C
26407,4,Nutrient,734,16.77,g/100g,Nachos,Dishes,Tex-Mex cuisine,Fatty acids,10,18,D
26413,4,Nutrient,735,24.46,g/100g,Processed cheese,Milk and milk products,Fermented milk products,Fatty acids,10,20,E
26433,4,Nutrient,736,2.61,g/100g,Salad,Dishes,Other dishes,Fatty acids,2,3,C
26455,4,Nutrient,737,9.97,g/100g,Cream substitute,Baking goods,Substitutes,Fatty acids,9,12,D
26466,4,Nutrient,738,7.35,g/100g,Dulce de leche,Confectioneries,Spreads,Fatty acids,,-3,A
26467,4,Nutrient,739,39.92,g/100g,Topping,Baking goods,Baking goods,Fatty acids,10,22,E
26478,4,Nutrient,740,4.03,g/100g,Sweet custard,Confectioneries,Milk desserts,Fatty acids,,-2,A
26486,4,Nutrient,742,7.17,g/100g,Egg roll,Dishes,Asian cuisine,Fatty acids,7,13,D
26490,4,Nutrient,743,0.62,g/100g,Heart of palm,Vegetables,Other vegetables,Fatty acids,0,1,B
